('10.240.1.206:5353', '224.0.0.251:5353')
('10.7.11.235:53686', '142.250.77.46:443')
('10.240.1.72:58387', '224.0.0.252:5355')
('10.240.5.181:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:58339')
('10.7.11.235:50624', '142.250.192.99:443')
('10.240.10.27:62212', '224.0.0.252:5355')
('142.251.42.69:443', '10.7.11.235:53670')
('10.0.136.7:53', '10.240.0.249:55950')
('10.240.1.152:5353', '224.0.0.251:5353')
('10.7.11.235:53673', '142.250.192.97:443')
('10.240.3.137:5353', '224.0.0.251:5353')
('10.240.8.31:8009', '10.240.0.249:57978')
('10.240.14.3:62683', '255.255.255.255:3289')
('10.0.136.7:53', '10.7.11.235:60538')
('10.7.11.235:61171', '142.250.194.206:443')
('10.7.11.235:50111', '10.0.136.7:53')
('10.7.11.235:63346', '10.0.136.7:53')
('10.240.12.234:5353', '224.0.0.251:5353')
('10.7.11.235:61796', '142.250.192.142:443')
('142.250.192.142:443', '10.7.11.235:52241')
('10.0.136.7:53', '10.7.11.235:52096')
('10.0.136.7:53', '10.7.11.235:54190')
('142.250.193.36:443', '10.240.0.249:62455')
('142.250.199.170:443', '10.7.11.235:53687')
('10.7.11.235:56586', '10.0.136.7:53')
('10.240.3.201:5353', '224.0.0.251:5353')
('142.250.76.174:443', '10.240.0.249:55646')
('57.144.177.33:443', '10.240.0.249:58637')
('10.240.0.249:59284', '146.75.46.49:443')
('10.240.10.52:5353', '224.0.0.251:5353')
('10.240.14.3:62682', '10.240.31.255:3289')
('10.240.0.249:57950', '10.240.8.31:8009')
('139.99.123.206:443', '10.240.0.249:59250')
('10.0.136.7:53', '10.7.11.235:61420')
('10.7.11.235:59303', '10.0.136.7:53')
('10.7.11.235:64643', '142.250.193.3:443')
('10.240.0.249:50626', '172.217.174.74:443')
('10.7.11.235:63753', '10.0.136.7:53')
('10.0.136.7:53', '10.7.11.235:56127')
('10.7.11.235:63623', '180.149.61.76:443')
('10.0.136.7:53', '10.7.11.235:55073')
('10.240.13.168:5353', '224.0.0.251:5353')
('10.7.11.235:53677', '216.239.34.157:443')
('10.240.0.249:55992', '10.240.8.31:8009')
('10.0.136.7:53', '10.240.0.249:59298')
('10.7.11.235:53689', '142.250.199.170:443')
('10.7.11.235:53665', '18.172.64.111:443')
('10.240.8.31:8009', '10.7.11.235:53698')
('10.7.11.235:58837', '10.0.136.7:53')
('10.240.3.244:5353', '224.0.0.251:5353')
('10.240.9.97:5353', '224.0.0.251:5353')
('10.240.12.213:137', '10.240.31.255:137')
('10.240.0.249:59299', '10.0.136.7:53')
('142.250.183.106:443', '10.240.0.249:51930')
('10.0.136.7:53', '10.7.11.235:64784')
('10.7.11.235:62637', '10.0.136.7:53')
('10.7.11.235:57215', '142.250.70.100:443')
('10.0.136.7:53', '10.7.11.235:49720')
('10.240.0.249:59298', '10.0.136.7:53')
('10.240.0.249:50627', '10.0.136.7:53')
('10.240.8.219:17500', '10.240.31.255:17500')
('10.240.4.208:137', '10.240.31.255:137')
('10.240.3.20:52752', '239.255.255.250:1900')
('10.7.11.235:64185', '142.250.71.106:443')
('10.7.11.235:52032', '10.0.136.7:53')
('10.240.0.249:5353', '10.240.3.54:5353')
('142.250.192.142:443', '10.7.11.235:63316')
('10.240.5.211:5353', '224.0.0.251:5353')
('10.240.8.31:8009', '10.7.11.235:53667')
('10.7.11.235:53694', '142.250.192.99:443')
('142.250.70.106:443', '10.240.0.249:56874')
('142.250.70.42:443', '10.7.11.235:53699')
('10.7.11.235:55358', '142.250.183.10:443')
('10.0.136.7:53', '10.7.11.235:61315')
('10.240.11.91:59479', '255.255.255.255:21027')
('3.111.224.186:443', '10.7.11.235:53679')
('10.240.4.76:57621', '10.240.31.255:57621')
('10.7.11.235:49170', '10.0.136.7:53')
('10.7.11.235:57192', '142.250.192.142:443')
('10.0.136.7:53', '10.7.11.235:56586')
('3.220.204.125:443', '10.240.0.249:58676')
('10.240.8.31:8009', '10.240.0.249:57948')
('10.240.12.117:17500', '10.240.31.255:17500')
('10.7.11.235:55974', '10.0.136.7:53')
('10.240.0.249:59231', '23.52.40.154:443')
('10.0.136.7:53', '10.7.11.235:53548')
('10.240.3.20:57077', '224.0.0.252:5355')
('10.240.6.94:57621', '10.240.31.255:57621')
('10.240.3.118:58021', '239.255.255.250:1900')
('10.240.4.18:5353', '224.0.0.251:5353')
('10.7.11.235:54024', '10.0.136.7:53')
('10.240.1.72:59153', '224.0.0.252:5355')
('18.172.64.111:443', '10.7.11.235:53665')
('10.240.1.131:5353', '224.0.0.251:5353')
('10.240.6.17:10004', '255.255.255.255:10004')
('10.0.136.7:53', '10.7.11.235:56968')
('10.240.15.211:62495', '239.255.255.250:1900')
('142.250.199.170:443', '10.7.11.235:53691')
('10.240.7.216:5353', '224.0.0.251:5353')
('10.7.11.235:53548', '10.0.136.7:53')
('10.240.8.219:17500', '255.255.255.255:17500')
('10.7.11.235:60539', '10.0.136.7:53')
('10.240.11.204:5353', '224.0.0.251:5353')
('10.240.6.58:62280', '239.255.255.250:1900')
('10.240.3.218:5353', '224.0.0.251:5353')
('10.240.0.45:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:51275')
('10.240.3.90:5353', '224.0.0.251:5353')
('10.240.12.157:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:65158')
('10.240.6.166:17500', '255.255.255.255:17500')
('216.239.34.157:443', '10.240.0.249:56003')
('10.240.8.28:5353', '224.0.0.251:5353')
('10.7.11.235:62198', '10.0.136.7:53')
('10.240.12.11:5353', '224.0.0.251:5353')
('10.240.14.3:62675', '255.255.255.255:22222')
('10.7.11.235:57738', '10.0.136.7:53')
('10.7.11.235:62419', '142.250.70.67:443')
('10.240.3.238:5353', '224.0.0.251:5353')
('10.240.14.244:5353', '224.0.0.251:5353')
('10.240.0.249:58676', '3.220.204.125:443')
('142.250.192.97:443', '10.7.11.235:53673')
('10.240.10.223:5353', '224.0.0.251:5353')
('10.240.6.58:5353', '224.0.0.251:5353')
('34.233.206.230:443', '10.7.11.235:53656')
('10.240.0.249:64087', '142.250.206.170:443')
('10.240.12.148:49666', '224.0.0.252:5355')
('10.7.11.235:49720', '10.0.136.7:53')
('10.240.8.31:8009', '10.240.0.249:55992')
('10.240.8.229:38427', '239.255.255.250:1900')
('10.240.13.188:5353', '224.0.0.251:5353')
('10.240.3.36:5353', '224.0.0.251:5353')
('10.240.1.72:57231', '224.0.0.252:5355')
('10.240.10.175:53342', '10.240.31.255:1947')
('10.240.12.117:17500', '255.255.255.255:17500')
('10.0.136.7:53', '10.7.11.235:63753')
('142.250.70.42:443', '10.7.11.235:61849')
('10.240.12.242:5353', '224.0.0.251:5353')
('10.240.1.72:51862', '224.0.0.252:5355')
('10.240.4.253:5353', '224.0.0.251:5353')
('10.240.0.249:57948', '10.240.8.31:8009')
('10.240.15.210:46326', '239.255.255.250:1900')
('10.7.11.235:56127', '10.0.136.7:53')
('10.240.1.72:54711', '224.0.0.252:5355')
('142.250.182.238:443', '10.240.0.249:56086')
('10.0.136.7:53', '10.7.11.235:56667')
('10.240.13.23:5353', '224.0.0.251:5353')
('180.149.61.76:443', '10.7.11.235:63623')
('54.167.200.67:443', '10.240.0.249:55931')
('142.250.199.170:443', '10.7.11.235:53689')
('10.240.7.233:5353', '224.0.0.251:5353')
('10.7.11.235:51849', '10.0.136.7:53')
('10.240.10.175:53568', '10.240.31.255:1947')
('10.240.0.34:5353', '224.0.0.251:5353')
('142.250.183.10:443', '10.7.11.235:55358')
('10.240.2.73:5353', '224.0.0.251:5353')
('10.7.11.235:53696', '142.250.71.106:443')
('10.7.11.235:56667', '10.0.136.7:53')
('10.0.136.7:53', '10.7.11.235:61300')
('10.0.136.7:53', '10.240.0.249:59299')
('10.0.136.7:53', '10.7.11.235:50295')
('10.240.1.161:5353', '224.0.0.251:5353')
('142.250.192.195:443', '10.7.11.235:58631')
('10.240.3.54:5353', '224.0.0.251:5353')
('23.32.176.28:443', '10.240.0.249:59297')
('10.240.6.246:5353', '224.0.0.251:5353')
('142.250.67.202:443', '10.240.0.249:56809')
('10.7.11.235:61036', '10.0.136.7:53')
